CPU명,라인,종합_성능점수,종합_성능_순위,순수_성능점수,순수_성능_순위
라이젠9 9950X3D,하이엔드,0.6678288587413658,1,0.9570345711504478,1
라이젠7 9800X3D,하이엔드,0.6476392050977485,2,0.833990788161377,4
라이젠9 9900X3D,하이엔드,0.6234033919032498,3,0.8507654217343339,2
라이젠9 9950X,하이엔드,0.5903893453783715,4,0.8357835411116843,3
코어i9-14900KF DDR5,하이엔드,0.5811165405339168,5,0.7766043124887866,7
코어i9-14900K DDR5,하이엔드,0.5763351642343595,6,0.7766043124887866,7
라이젠7 7800X3D,하이엔드,0.5761632985285492,7,0.7121043420653669,17
라이젠9 9900X,하이엔드,0.5653470910750514,8,0.7555551464683268,9
코어i7-14700KF DDR5,하이엔드,0.5646969173684339,9,0.7203112479043218,15
코어i9-13900K DDR5,하이엔드,0.564133020824481,10,0.7523184380510766,12
코어i7-14700K DDR5,하이엔드,0.5590945001721168,11,0.7203112479043218,15
코어i7-14700F DDR5,하이엔드,0.5491999596240753,12,0.6938239711132574,18
라이젠7 9700X,하이엔드,0.5490160424748525,13,0.6786739495170951,22
코어 울트라9 285K,하이엔드,0.5459088975178037,14,0.7839632446218713,6
코어i7-14700 DDR5,하이엔드,0.5452028417106032,15,0.6938239711132574,18
코어 울트라7 265KF,하이엔드,0.539654847119487,16,0.6897007019082985,20
코어i9-14900KS DDR5,하이엔드,0.5380006632509969,17,0.7893036112680955,5
코어 울트라7 265K,하이엔드,0.5376360956373799,18,0.6897007019082985,20
코어i9-14900F DDR5,하이엔드,0.5357207496385311,19,0.752666676040916,10
코어i7-13700KF DDR5,하이엔드,0.5353812753886702,20,0.6714384358807761,23
코어i9-14900 DDR5,하이엔드,0.5294440302359571,21,0.752666676040916,10
코어i7-13700K DDR5,하이엔드,0.5287404626350306,22,0.6714384358807757,24
코어i9-13900F DDR5,하이엔드,0.5280213964226182,23,0.7275815866266391,13
코어i9-13900 DDR5,하이엔드,0.5276537451967916,24,0.7275815866266389,14
라이젠5 9600X,하이엔드,0.5259125728889982,25,0.6251667472983169,28
코어i7-13700F DDR5,하이엔드,0.5002714343922174,26,0.6369285185345541,27
코어i7-13700 DDR5,하이엔드,0.4970149255084777,27,0.6369285185345545,26
라이젠5 9600,하이엔드,0.4964349939431166,28,0.589644981288154,34
코어i5-14400F DDR4,메인스트림,0.48323983236830403,29,0.5533877325522172,45
코어i5-12600KF DDR4,메인스트림,0.477756589874387,30,0.5598979227450702,42
코어 울트라7 265F,하이엔드,0.475374858436686,31,0.613496871596928,29
코어i5-12600K DDR4,메인스트림,0.4752065594584169,32,0.5598979227450702,42
코어 울트라7 265,하이엔드,0.4740249881974705,33,0.613496871596928,29
코어i5-14400 DDR4,메인스트림,0.47245554136301043,34,0.5533877325522172,45
코어i5-14600KF DDR5,퍼포먼스,0.4720220807786799,35,0.5646865052760721,40
코어i5-13400F DDR4,메인스트림,0.47169807278380177,36,0.5422886983162688,50
라이젠9 7900X,퍼포먼스,0.4658760435868017,37,0.6121569600113218,31
코어i5-13400 DDR4,메인스트림,0.4651179623669554,38,0.5422886983162688,50
라이젠7 8700F (피닉스),메인스트림,0.46343237409202803,39,0.5414667959254105,52
코어i5-14600K DDR5,퍼포먼스,0.4620735437949367,40,0.5646865052760721,40
코어 울트라5 245KF,퍼포먼스,0.46185778965966734,41,0.5689041100343621,38
코어i9-12900KF DDR5,퍼포먼스,0.46104439583989476,42,0.5915571837107173,33
코어i9-12900K DDR5,퍼포먼스,0.460030379285765,43,0.591557183710718,32
코어i5-13600KF DDR5,퍼포먼스,0.45652598253065535,44,0.5459819574986425,48
코어 울트라9 285,하이엔드,0.4561636024335537,45,0.6565734419789107,25
코어 울트라5 245K,퍼포먼스,0.4534000036783356,46,0.5689041100343621,38
라이젠7 8700G ,메인스트림,0.4522880168142933,47,0.5520190150361827,47
코어i5-13600K DDR5,퍼포먼스,0.451712156925525,48,0.5459819574986425,48
코어i5-14600 DDR5,퍼포먼스,0.44618326509408246,49,0.5546307375445179,44
코어i9-12900F DDR5,퍼포먼스,0.4459735527462688,50,0.5818741498353546,35
라이젠9 7900,퍼포먼스,0.44047007786795844,51,0.5706985324301468,37
코어i9-12900 DDR5,퍼포먼스,0.44027444696829965,52,0.5818741498353546,35
라이젠7 7700X,퍼포먼스,0.43111925435717924,53,0.5381749476626374,53
코어 울트라5 235,퍼포먼스,0.42791248786692426,54,0.5327018733223212,54
라이젠5 8600G,메인스트림,0.42711014853931933,55,0.49668730689567525,61
라이젠7 7700,퍼포먼스,0.4257900657286188,56,0.5161248468174757,57
라이젠7 5700X,메인스트림,0.4254672505802075,57,0.4911386875649514,63
라이젠7 5800XT,메인스트림,0.4224109379181189,58,0.516118214139386,58
코어i7-12700KF DDR5,퍼포먼스,0.4201016431706953,59,0.5250429253939923,55
라이젠5 7600X,퍼포먼스,0.41963066108541547,60,0.49605240245414906,62
코어i7-12700K DDR5,퍼포먼스,0.41251337842255387,61,0.5250429253939923,55
코어i7-12700F DDR5,퍼포먼스,0.4112173188525355,62,0.5107028730745319,59
코어i3-14100F DDR4,엔트리,0.4108132512294925,63,0.44807258824128415,78
라이젠5 5600XT,메인스트림,0.40980821083375535,64,0.4589276047753251,73
라이젠5 8400F,메인스트림,0.4086614651287864,65,0.46623885970549817,72
코어i5-12400F DDR4,메인스트림,0.40757397267892004,66,0.45731220770939895,75
코어i7-12700 DDR5,퍼포먼스,0.40600521430883146,67,0.5107028730745319,59
코어i5-12500 DDR4,메인스트림,0.4052450125857567,68,0.4681358937203811,70
코어i3-14100 DDR4,엔트리,0.4041549664404009,69,0.44807258824128415,78
코어i5-12600 DDR4,메인스트림,0.4030069303828472,70,0.47272403054686,67
라이젠5 7600,퍼포먼스,0.40295758879657056,71,0.46645286507839323,71
코어i3-13100F DDR4,엔트리,0.4017739849997309,72,0.43703584600510903,80
코어i5-12400 DDR4,메인스트림,0.40164148284566775,73,0.4573159909532206,74
라이젠5 8500G,메인스트림,0.40026449823954136,74,0.4530417102041957,76
코어i5-13600 DDR5,퍼포먼스,0.3984330820245856,75,0.4909912660954825,64
코어i5-13500 DDR5,퍼포먼스,0.39751628158584756,76,0.4778625280199105,66
라이젠5 7500F,퍼포먼스,0.39671152506462787,77,0.4503377617641132,77
코어i3-13100 DDR4,엔트리,0.39427657993734366,78,0.43703584600510903,80
코어i3-12100F DDR4,엔트리,0.39275350452860047,79,0.42550016528202217,84
코어i5-14500 DDR5,퍼포먼스,0.3921673917942241,80,0.48559373651269944,65
라이젠5 5600T (버미어),메인스트림,0.3913154304689669,81,0.43336673023186817,82
라이젠5 5600,메인스트림,0.3905303604102063,82,0.42976777013328155,83
코어 울트라5 225F,퍼포먼스,0.3877589824610552,83,0.4684410366899581,68
코어i3-12100 DDR4,엔트리,0.386262486540645,84,0.42550016528202217,84
코어 울트라5 225,퍼포먼스,0.38438888339646304,85,0.4684410366899581,68
라이젠7 5700G,엔트리,0.3568742491425864,86,0.4203798357711916,86
라이젠5 5600GT,엔트리,0.345659288815679,87,0.3836261992253003,87
라이젠5 5600G,엔트리,0.33870551730119125,88,0.3735889707229049,88
라이젠5 5500GT,엔트리,0.335629404743993,89,0.3702476021473825,89
라이젠5 5500 (세잔),엔트리,0.3302063563846842,90,0.36224756385689244,90
라이젠3 5300G,엔트리,0.3117283912153553,91,0.3304639976127979,91
코어i3-10100F,엔트리,0.28875681550181925,92,0.2986754683714476,94
코어i3-10105F,엔트리,0.28853677921408355,93,0.3009882367864826,93
코어i3-10105,엔트리,0.2812483003899841,94,0.30098823678648423,92
300 DDR4,엔트리,0.2681779939628987,95,0.2705737817788303,95
펜티엄 골드 G7400 DDR4,엔트리,0.26344731201520577,96,0.2651553755329196,96
펜티엄 골드 G6400,엔트리,0.24384561913763325,97,0.23826192230379742,97
셀러론 G5905,엔트리,0.10953807364351778,98,0.07521887692581097,98
셀러론 G6900 DDR4,엔트리,0.0688377199166342,99,0.03163854623970374,99
라이젠9 7950X3D,,,999,,999
라이젠9 7900X3D,,,999,,999
코어i9-13900KS DDR5,,,999,,999
코어i9-13900KF DDR5,,,999,,999
라이젠7 5800X3D,,,999,,999
코어i9-12900KS DDR5,,,999,,999
하이엔드 게이밍 라인↑,,,999,,999
라이젠9 7950X,,,999,,999
라이젠7 5700X3D,,,999,,999
퍼포먼스 게이밍 라인↑,,,999,,999
라이젠9 5950X,,,999,,999
라이젠9 5900XT,,,999,,999
라이젠9 5900X,,,999,,999
라이젠7 5800X,,,999,,999
라이젠5 5600X,,,999,,999
메인스트림 게이밍 라인↑,,,999,,999
라이젠7 5700 (세잔),,,999,,999
코어i3-10100,,,999,,999
라이젠5 PRO 4650G,,,999,,999
라이젠5 4600G,,,999,,999
라이젠5 4500,,,999,,999
라이젠3 PRO 4350G,,,999,,999
펜티엄 골드 G6405,,,999,,999
애슬론 3000G,,,999,,999
셀러론 G5900,,,999,,999
엔트리 게이밍 & 로우엔드 라인↑,,,999,,999